[24-3-2023 14:42:28] 	 6PWBp8QdRbYlPrKjAAAD connected
[24-3-2023 14:42:28] 	 Asfasfasf joined the game
[24-3-2023 14:42:31] 	 Asfasfasf went offline
[24-3-2023 14:42:33] 	 Asfasfasf went online
[24-3-2023 14:42:35] 	 Asfasfasf went offline
[24-3-2023 14:42:39] 	 Asfasfasf went online
[24-3-2023 14:42:40] 	 Asfasfasf went online
[24-3-2023 14:42:40] 	 Asfasfasf went offline
[24-3-2023 14:42:42] 	 6PWBp8QdRbYlPrKjAAAD disconnected
[24-3-2023 14:42:42] 	 Asfasfasf left the game
[24-3-2023 14:42:43] 	 aE9aG1UCnq13y1hRAAAF connected
[24-3-2023 14:42:43] 	 Asfasfasf joined the game
[24-3-2023 14:42:48] 	 Asfasfasf went offline
[24-3-2023 14:44:2] 	 gDHmkFA4uFcH_muIAAAB connected
[24-3-2023 14:44:6] 	 Fay_XOrd0HgNbBwGAAAD connected
[24-3-2023 14:44:6] 	 Asfasfasf joined the game
[24-3-2023 14:44:12] 	 Asfasfasf went offline
[24-3-2023 14:44:42] 	 BG__E6nqDW0G5GR2AAAB connected
[24-3-2023 14:44:42] 	 efkRB9cwF2fQMgK8AAAD connected
[24-3-2023 14:45:4] 	 jBeEQfo3bz4pMHDFAAAB connected
[24-3-2023 14:45:4] 	 y9woqN64NeyqaoN9AAAD connected
[24-3-2023 14:45:7] 	 AvuIAhUSqcAWFQ2cAAAF connected
[24-3-2023 14:45:7] 	 Asfasfasf joined the game
[24-3-2023 14:45:9] 	 Asfasfasf received salary
[24-3-2023 14:45:10] 	 Asfasfasf received ₹50 from the Bank
[24-3-2023 14:45:15] 	 Asfasfasf went offline
[24-3-2023 14:45:51] 	 sMiXBhx_rZArYSryAAAB connected
[24-3-2023 14:45:51] 	 588Xdsdr02V8GGYJAAAD connected
[24-3-2023 14:45:52] 	 NIJHyAdfG9CFHmO9AAAF connected
[24-3-2023 14:45:59] 	 0lP0wnlBJt7lu2wZAAAB connected
[24-3-2023 14:45:59] 	 oShsHwT8ANj6SGl4AAAD connected
[24-3-2023 14:45:59] 	 DGjiSPgMvg2rzN5cAAAF connected
[24-3-2023 14:46:4] 	 nTsh1WqgH4HdLyuNAAAB connected
[24-3-2023 14:46:4] 	 AwOanJIjD_dwWeyAAAAD connected
[24-3-2023 14:46:4] 	 1A9oG4Mf4Y2BI8gHAAAF connected
[24-3-2023 14:46:9] 	 duix9l1VHBfjZV_FAAAB connected
[24-3-2023 14:46:9] 	 T6QMzkKlrD5GdopCAAAD connected
[24-3-2023 14:46:9] 	 OKmXpW-BkvGylKe6AAAF connected
[24-3-2023 14:46:11] 	 kuZsYKxhDLSQ5dEBAAAH connected
[24-3-2023 14:46:11] 	 Asfasfasf joined the game
[24-3-2023 14:46:13] 	 duix9l1VHBfjZV_FAAAB disconnected
[24-3-2023 14:46:13] 	 T6QMzkKlrD5GdopCAAAD disconnected
[24-3-2023 14:46:13] 	 kuZsYKxhDLSQ5dEBAAAH disconnected
[24-3-2023 14:46:13] 	 Asfasfasf left the game
[24-3-2023 14:46:13] 	 OKmXpW-BkvGylKe6AAAF disconnected
[24-3-2023 14:46:56] 	 gdjEF-looon8507MAAAB connected
[24-3-2023 14:46:56] 	 Asfasfasf joined the game
[24-3-2023 14:46:58] 	 Asfasfasf went offline
[24-3-2023 14:47:19] 	 vb6zPkqPRmSL2N0dAAAB connected
[24-3-2023 14:47:19] 	 vb6zPkqPRmSL2N0dAAAB connected
[24-3-2023 14:47:37] 	 WUXZa5C72_k62iZmAAAB connected
[24-3-2023 14:47:37] 	 WUXZa5C72_k62iZmAAAB connected
[24-3-2023 14:47:40] 	 MG-cFbWfpF-jyUKtAAAB connected
[24-3-2023 14:47:40] 	 MG-cFbWfpF-jyUKtAAAB connected
[24-3-2023 14:48:11] 	 OyApFME4YKHJzIu7AAAB connected
[24-3-2023 14:48:11] 	 OyApFME4YKHJzIu7AAAB connected
[24-3-2023 14:48:17] 	 UhuMMgbQ6rdi41avAAAB connected
[24-3-2023 14:48:17] 	 UhuMMgbQ6rdi41avAAAB connected
[24-3-2023 14:48:26] 	 zGMiX0MlHdSto0TDAAAB connected
[24-3-2023 14:48:26] 	 zGMiX0MlHdSto0TDAAAB connected
[24-3-2023 14:48:31] 	 9PT9qOkQyrjgB4XuAAAB connected
[24-3-2023 14:48:31] 	 9PT9qOkQyrjgB4XuAAAB connected
[24-3-2023 14:48:36] 	 Swt2oLBYwe3ctLOLAAAB connected
[24-3-2023 14:48:42] 	 aV-d045rJsTNQm1UAAAB connected
[24-3-2023 14:48:53] 	 _7wdgP-S6vcGJRb3AAAB connected
[24-3-2023 14:49:25] 	 94Gy--1Sy6kjLuVLAAAB connected
[24-3-2023 14:49:25] 	 Asfasfasf joined the game
[24-3-2023 14:49:26] 	 94Gy--1Sy6kjLuVLAAAB disconnected
[24-3-2023 14:49:26] 	 Asfasfasf left the game
